time,Thv,sigma,run,H,V
3150.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3180.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3210.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3240.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3270.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3300.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3330.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3360.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3390.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3420.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3450.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3480.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3510.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3540.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3570.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3600.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3630.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
3650.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
0.0,0.528124988079071,0.0,1,0.0,10.0
30.0,0.528124988079071,0.0,1,8686.1015625,46785.921875
60.0,0.528124988079071,0.0,1,9010.2392578125,57461.33203125
90.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
120.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
150.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
180.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
210.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
240.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
270.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
300.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
330.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
360.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
390.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
420.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
450.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
480.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
510.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
540.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
570.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
600.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
630.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
660.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
690.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
720.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
750.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
780.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
810.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
840.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
870.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
900.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
930.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
960.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
990.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1020.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1050.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1080.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1110.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1140.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1170.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1200.0,0.528124988079071,0.0,1,9010.44921875,57474.34375
1230.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1260.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1290.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1320.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1350.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1380.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1410.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1440.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1470.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1500.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1530.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
1560.0,0.528124988079071,0.0,1,9010.4501953125,57474.34375
